date;price;open;max;min;vol;
2022-05-05;36544;39686;39833;36183;14B;
2022-05-04;39688;37717;40021;37660;691,49M;
2022-05-03;37718;38515;38647;37513;367,21M;
2022-05-02;38514;38472;39134;38061;580,79M;
2022-05-01;38461;37642;38676;37397;276,99M;
2022-04-30;37650;38590;38776;37596;248,22M;
2022-04-29;38581;39748;39919;38175;382,90M;
2022-04-28;39748;39243;40382;38888;542,39M;
2022-04-27;39243;38113;39447;37869;426,83M;
2022-04-26;38113;40443;40770;37708;681,47M;
2022-04-25;40427;39464;40599;38233;654,60M;
2022-04-24;39464;39434;39929;39033;283,63M;
2022-04-23;39418;39709;39973;39291;190,60M;
2022-04-22;39709;40487;40792;39200;421,30M;
2022-04-21;40482;41370;42969;39793;4935M;
2022-04-20;41368;41499;42203;40915;382,84M;
2022-04-19;41503;40809;41746;40585;268,28M;
2022-04-18;40803;39700;41095;38577;484,26M;
2022-04-17;39703;40382;40599;39561;2101M;
2022-04-16;40382;40571;40691;40003;151,31M;
2022-04-15;40560;39936;40850;39781;2339M;
2022-04-14;39936;41133;41494;39585;294,29M;
2022-04-13;41133;40072;41515;39581;406,70M;
2022-04-12;40078;39507;40678;39265;468,27M;
2022-04-11;39497;42144;42418;39202;608,38M;
2022-04-10;42138;42760;43421;41884;255,83M;
2022-04-09;42767;42275;42809;42129;165,16M;
2022-04-08;42275;43450;43979;42113;467,83M;
2022-04-07;43448;43166;43893;42747;390,85M;
2022-04-06;43173;45494;45519;43122;649,52M;
2022-04-05;45506;46614;47201;45388;421,11M;
2022-04-04;46629;46407;46899;45152;446,12M;
2022-04-03;46407;45813;47435;45554;398,86M;
2022-04-02;45811;46299;47212;45641;345,93M;
2022-04-01;46297;45529;46728;44261;632,93M;
2022-03-31;45525;47071;47624;45228;5200M;
2022-03-30;47075;47449;47714;46601;467,76M;
2022-03-29;47449;47126;48127;47029;478,82M;
2022-03-28;47105;46859;48199;46672;610,27M;
2022-03-27;46859;44542;46947;44445;388,79M;
2022-03-26;44548;44331;44818;44090;196,30M;
2022-03-25;44331;44013;45112;43622;4949M;
2022-03-24;44013;42911;44251;42658;491,66M;
2022-03-23;42912;42373;43027;41795;433,96M;
2022-03-22;42373;41022;43327,9;40893;5376M;
2022-03-21;41022;41282;41532;40530;406,62M;
2022-03-20;41276;42241;42301;40922;308,45M;
2022-03-19;42233;41768;42386;41529,6;224,59M;
2022-03-18;41767;40914,6;42308,4;40234,8;2,31B;
2022-03-17;40914;41118,7;41406;40557,8;1,90B;
2022-03-16;41118;39282,5;41701,6;38953,2;4,47B;
2022-03-15;39285;39673;39854,7;38220,9;2,25B;
2022-03-14;39671;37789,5;39914,3;37613,6;2,33B;
2022-03-13;37792;38813,2;39272,3;37603,4;1,55B;
2022-03-12;38814;38730,2;39355,3;38666,5;1,11B;
2022-03-11;38730;39422,5;40177;38236,4;2,79B;
